Question,Answer,Class
"Sur www.passorange.sn, je ne vois nulle part une proposition d’achat de PASS, est-ce normal ?","Pour voir les propositions d’achat de PASS, il faut avoir du crédit  sur son compteur de rechargement. Ce crédit doit être d’un montant supérieur ou égal au prix du PASS le plus bas c’est-à-dire 2500 F.",Internet mobile
Comment payer ses factures CANAL + via Orange Money?,"PS: Le paiement des factures CANAL+ par Orange Money est gratuit. Les abonnés CANAL qui payent via Orange Money ne supportent pas de frais.
 Les numéros d’abonnés Canal à saisir doivent comporter 7 ou 8 chiffres.
Tous les numéros d’abonnés CANAL de moins de 7 chiffres doivent  être préfixés de 4 (si 6 chiffres) ou 40 (si 5 chiffres).
Composer le : 
#144#3*5*2#: pour régularisation.
#144#3*5*1#: pour reconduction.",Orange Money
Il parait qu’il est possible d’effectuer des transfert d’argent entre le Kalpé Orange Money et mon compte bancaire UBA ?,,Orange Money
Comment recharger son compteur WOYOFAL via Orange Money?,"Quelle est la donnée d’entrée  sur orange money ?
Numéro de compteur woyofal de  11 (onze ) chiffres.
Ex : Numéro compteur : 12345678900, la donnée d’entrée est 12345678900.
Le montant d’achat de code de recharge woyofal doit être compris entre 1000F et 1 500 000F 
Le code de recharge acheté doit être de (Vingt) 20 Chiffres. 
Pour acheter un code ,  le client doit saisir  son numéro de compteur et le code acheté ne pourra être rechargé que sur ce numéro de compteur.
Un nouveau client Woyofal reçoit 3 codes qu’il doit recharger dans l’ordre de réception. Vous pouvez aussi acheter un code de recharge woyofal pour vos proches en ayant leur numéro de compteur woyofal.
Composer le #144#342#, renseigner le numéro de compteur et suivre les instructions",Orange Money
"J’ai rechargé 1000 F, mais je ne vois aucun PASS qui s’affiche pour que je puisse procéder à l’achat, est-ce normal?","Oui c’est normal pour qu’un PASS soit proposé à l’achat, il faut disposer sur son compte de rechargement  d’un montant équivalent au minimum au prix du PASS;
Pour avoir le PASS de 2500 F qui s’affiche, il faut avoir 2500F sur le compte de rechargement.
Pour que le PASS de 4000 F s’affiche, il faut avoir 4000 F au minimum dans le compte de rechargement.
Pour que le PASS de 5000 F s’affiche, il faut avoir 5000 F au minimum dans le compte de rechargement.",Internet mobile
Quelles sont les horaires d'ouverture de vos agences?,"Nos agences sont ouvertes du lundi au vendredi de 08H 00 à 16H 45 avec une pause de 13H30 à 15H les vendredis.
A dakar, elles sont en plus ouvertes les samedis de 09H à 12H.",Bienvenue
Comment acheter un pass?,"Bonjour, 
Vous avez quatre possibilité pour acheter un pass internet 
1- via le menu #1234# 
2- sur le site www.passorange.sn 
3- avec l'application Orange et moi 
4- sur le site www.orangeetmoi.sn 
Vous trouverez dans le tableau les différents pass internet proposés.",Internet mobile
Combien coûte un transfert international Orange Money ?,,Orange Money
Comment je fais pour avoir le suivi de ma consommation ?,"Il existe deux possibilités pour faire un suivi conso, selon le type de forfait Internet souscris:
601 pour les forfaits Internet Mobile et www.passorange.sn pour les forfaits Bloqués Internet.",Internet mobile
Comment payer ses factures SENELEC via Orange Money?,"Quelle est la donnée d’entrée  sur Orange Money ?
Numéro de la police suivi de tiret (-), les deux chiffres du mois puis les deux chiffres de l’année de la date limite de paiement.
Ex : Police : 1301102723 avec une  date limite de paiement au  28/04/2015. La donnée d’entrée est 1301102723 -0415 Date limite de paiement : Jour+5 de l’échéance (sur la facture).
Vous pouvez aussi payer les factures de vos proches en ayant leur numéro police.
NB: Frais à payer par le client : en fonction du montant de la facture.
Composer le #144#341# puis renseigner le numéro de police suivi de tiret (-), les deux chiffres du mois puis les deux derniers chiffres de l’année de la date limite de paiement et suivre les instructions.
PS : impossibilité de payer une facture d’une société ou d’un client avec un dossier retraité à la SENELEC.",Orange Money
J’ai du mal à vous joindre par téléphone.,"Parfois, nous recevons beaucoup d’appels.
Le Service client est disponible également par :
facebook.com/orange.sn
Twitter : @SupportOrange
Email : serviceclient@orange-sonatel.com
Sur internet via assistance.orange.sn.",Offres mobiles
Comment consulter le solde de mon crédit fixe?,"Pour consulter gratuitement le solde de votre crédit fixe, il suffit de composer le 338103135.",Internet et fixe
Quelles sont les chaines disponibles dans le bouquet Orange?,"Pour découvrir les chaînes du bouquet Orange, il faut cliquer sur ce lien http://www.home.sn/bouquet-orange/.",TV d'orange et contenus
Comment faire pour acheter un pass internet volume?,,Internet mobile
Un bonus crédit téléphonique est toujours offert au client après paiement des factures via le compte du distributeur?,Non. Un bonus crédit téléphonique n’est pas offert au client après le paiement de facture par le distributeur Orange Money concerné.,Orange Money
L'offre Keurgui Box est-elle une offre internet illimitée ? Comment faire pour se connecter?,"Non, ce n’est pas une offre illimitée, nous vous proposons une gamme de Pass dédiée et moins chère via le site www.passorange.sn :
1 000frs pour 1Go
2 500frs pour pour 2,5Go
10 000frs pour 12 Go
20 000frs pour 30 Go
30 000frs pour 50 Go",Internet mobile
Pass internet Orange,,Internet mobile
Quels sont les nouveaux Pass Internationaux Orange?,"A partir du 25 janvier 2018, Orange lance les nouveaux pass internationaux. Il s’agit de pass valables exclusivement vers toutes les destinations à l’international sauf la Guinée Conakry, la Gambie et la Mauritanie.
Il s’agit de 3 pass valables uniquement vers l’international :
-Pass 5 mn valable 24h à 990F
-Pass 10 mn valable 24h à 1900F
-Pass 30 mn valable 7J à 5500F
Les pass sont disponibles au #165#. Il sont valables vers toutes les destinations sauf vers la Guinée Conakry, la Gambie et la Mauritanie.
Les pass internationaux sont disponibles pour les clients prépayés et forfait mobile bloqué
Vous pouvez suivre votre consommation au #123#:
-Compteur pass internationaux
NB : le compteur reste visible jusqu’à J+1 à 23H59 de l’expiration au #123#",Offres mobiles
Comment masquer son numéro sur android lors d'un appel ?,"Pour masquer ponctuellement votre numéro de téléphone à la personne que vous appelez (appel masqué), faites précéder son numéro de téléphone par #31# (exemple #31#775010000)
Néanmoins, si vous souhaitez masquer systématiquement votre numéro de téléphone à l’ensemble de vos interlocuteurs, lancez l’application Téléphone puis appuyez sur le bouton Menu du téléphone → Paramètres d’appel → Paramètres supplémentaires → Identité de l’appelant et choisir l'option masquer son numéro.",Terminaux et applications
Comment recharger sa CARTE RAPIDO via Orange Money?,"Le partenariat consiste à permettre aux clients la SENAC de pouvoir recharger leur carte RAPIDO via Orange Money
Le partenariat offre les avantages suivant:
Solutions de facilité et de proximité ( pas de queue, possibilité de payer 24h/24, sûr et pratique,…) + bonus crédit offert suite paiement via OM.
La cible :
Clients SENAC déjà clients Orange Money actifs et inactifs;
Clients SENAC clients Orange non encore inscrits à Orange Money;
NB: Pour le rechargement  de votre carte rapido via Orange, ne pas mettre les zéros (0) qui précèdent le numéro de la carte.
-Les frais à supporter pour recharger sa carte Rapido via OM;
Tout client qui recharge sa carte via Orange Money  supporte des frais en fonction du montant.
Quel est le délai d’activation de la carte ?
Automatique après rechargement, 1 heure les jours ouvrés 24 heures le week-end 
Composer le #144#381# puis suivre les instructions.",Orange Money
Comment vérifier s'il y'a promo en cours chez Orange?,Il faut composer le #111#1# et suivre les instructions.,Bienvenue
J'aimerai faire de la publicité pour Orange. Comment faire?,"Merci d'avoir porté votre choix sur nous. 
Pour les publicités, les castings se font avec les agences ci-après: 
Studio Sankara: http://www.studiosankara.com/casting/ 
Mccann: +221 33 869 26 26 / mccann@mccann.sn 
Caractère: (221) 33 820 91 37/39 contact@caractereconseil.com 
Vous pouvez entrer en contact avec elles pour votre candidature.",Bienvenue
Comment effectuer un transfert et un retrait d'argent via Orange Money?,"La fonctionnalité de transfert d’argent permet au service Orange Money de se mettre à la portée de tous les clients en éliminant les barrières à la réception d’argent.
Cette  fonctionnalité  est accessible au client directement à partir de son téléphone via le menu USSD ( #144# ) ou l’application mobile Orange Money avec un parcours intuitif.
Le montant maximum qu’on peut envoyer est 1 500.000 FCFA. Le transfert d’argent via Orange Money est gratuit à l’envoi même si le retrait est facturé (frais par palier à supporter).
L’opération se fait comme suit :
Transfert D'argent en National: #144#21*numéro*montant*code secret# . 
Transfert D’argent International: #144#22*(indicatif du pays destinataire) numéro*montant*code secret#.",Orange Money
Comment payer ses factures EXCAF via Orange Money?,"Quelle est la donnée d’entrée  sur Orange Money ?
Numéro de la carte suivi des 2 chiffres du mois et des 2 derniers chiffres de l’année (pour 1 mois) suivi de 2M (pour 2 mois).
Ex : Carte: 12345  - La donnée d’entrée est  123450415 pour  paiement  Avril et 1234504152M pour Avril et Mai.
Date limite de paiement : plus de date limite de paiement (abonnement date à date).
Désormais les clients peuvent payer tous les jours du mois
Ex: un client qui paye le 25 Avril doit obligatoirement renouveler son abonnement au plus tard le 24 Mai.
Vous pouvez aussi payer les factures de vos proches en ayant leur numéro d’abonnement.
NB: -Seuls les clients de Dakar peuvent payer via OM leur abonnement EXCAF
       -Frais à payer par le client : en fonction du montant de la facture. 
Composer le #144#33# puis renseigner le numéro de votre abonnement suivi du mois et de l’année.
S’il s’agit d’un abonnement mensuel et suivi de 2M s’il s’agit d’un abonnement bimestriel.
EX 0615( mensuel juin 2015), 06152M  ( bimestriel juin – juillet 2015) puis suivre les instructions.",Orange Money
Quels sont les pass internet que vous proposez?,"Bonjour, 
La liste de nos différents est disponible sur le tableau ci dessous.",Internet mobile
Quels sont les avantages du profil Jamono Max ?,"Ci-dessous les avantages du nouveau profil Jamono Max :
•Illimix utilisable 24h/24 avec plus de minutes d’appels et d’internet
•Report des minutes non consommées des Illimix 590F et 1290F si rachat d’un autre dans les 24h suivant l’expiration de l’ancien illimix
•Possibilité d’abonnement Illimix semaine
• Achat illimix directement par Orange Money
•Bonus Internet offert sur les achats Illimix faits avec les applis Orange et moi / Orange Money ou #144#, j’ai du bonus crédit
•Point Sargal surprise dès que je recharge 2500F sur toute la semaine si je suis inscrit au programme de fidélité.",Offres mobiles
Comment effectuer un paiement sur Internet via Orange Money ?,"Le paiement internet est la solution de paiement en ligne de Orange qui vous permet aux clients Orange Money d’acheter des biens et services sur les sites marchands (Internet) et de payer avec leur kalpé sans se déplacer via leurs téléphones mobiles. Le client se rend sur le site marchand, fait ses achats.
Au moment du paiement, il choisit Orange Money, il est redirigé vers une page spécifique. Il fait une demande de code via USSD en tapant le #144#391# touche d’appel,
un code de 6 chiffres est généré par Orange Money, il le reçoit par sms et est tenu de l’utiliser dans les  15 mns qui suivent la réception.
Il rentre son numéro de téléphone et le code généré sur la page web de paiement.
Si la transaction est valide un paiement marchand est déclenché du compte client vers le compte du marchand agrée Orange Money.
Le client est notifié:
 - de son achat par un mail du marchand en ligne
 - de sa transaction financière par un SMS de notification Orange Money",Orange Money
Quels sont les pass internet valables 1 mois que vous avez?,"Voici nos pass internet disponibles via le #1234# et valables 1 mois : 
>2,5 Go à 5.000fr
>7 Go à 10.000fr
>15 Go à 19.000fr
>Et 25Go à 25.000fr",Internet mobile
Comment recharger mon compteur Woyofal via Orange Money?,"Pour recharger votre compteur woyofal, il faudra taper #144#, choisir l'option 3 : Paiement de facture, puis l'option 4 : SENELEC et WOYOFAL et ensuite l'option 2 : Recharge WOYOFAL.
On vous demandera alors de saisir le numéro du compteur, puis le montant à recharger et votre code secret Orange Money.
Suite à cela, vous recevrez par message un code qu'il faudra marquer au niveau de votre compteur pour que le rechargement soit pris en compte!",Orange Money
Est-ce possible de changer le nom de mon iPhone (nom du Wi-Fi pour le partage de connexion)?,"C'est très simple, vous allez voir!
-Sélectionner Réglages
-Sélectionner Général
-Sélectionner Informations
-Sélectionner Nom
-Entrer le nom de son choix
-Cliquer sur ""Terminé"" au niveau du clavier pour enregistrer
Et voilà! :D",Entre nous
Comment recevoir les reçus de paiement de facture via Orange Money?,Il suffit de cliquer sur le lien http://41.208.148.69/orange_money/recus.php et d'insérer le numéro de transaction commençant par BP. Vous pouvez imprimer ce reçu tout comme vous pouvez le garder sous format électronique.,Orange Money
Comment désactiver le service sauvegarde répertoire Orange ?,"La sauvegarde automatique a un aspect utile et pratique, cela vous permet après la sauvegarde manuelle de garder tous les changements faits sur votre répertoire.
Toutefois, vous pouvez la désactiver en passant par le menu « sauvegarde contact sim »,  sur l’onglet paramètres --> puis sauvegarde automatique  --> touche non.",Offres mobiles
Comment faire un SEDDO pass internet ?,"Pour souscrire c’est simple, il faut être d’abord éligible puis soit : 
Utiliser le code #1234# puis « mes services internet » 
Utiliser l’application Orange & moi puis « mes services internet », 
Utiliser le code court *1234*Numéro* volume Mo à transférer* code secret #",Offres mobiles
Je ne me souviens plus de mon mot de passe orange money. Comment faire pour le changer?,"Pour cela, il suffit de nous contacter sur notre page facebook ou sur tweeter (@supportorange) ou par mail (servceclient@orange-sonatel.com).
Nous pourrons faire le nécessaire dès réception de votre numéro et de la copie de votre pièce d'identité si vous êtes de nationalité sénégalaise. Dans le cas échéant, nous aurons besoin d'une copie de votre passeport.",Orange Money
Comment puis-je avoir les frais liés aux opérations de paiement de factures et de transfert d'argent via Orange Money?,"Les frais de transfert sont maintenant disponibles sur le menu #144# au moment de valider le transfert.
Pour plus de détails sur les frais Orange Money, merci d'aller sur le lien ci-dessous:
 https://www.orange.sn/2/particuliers/1/3/paiement-73701.html.
 Expert Orange",Orange Money
"Quels sont les pays des zones 1, 2 et 3?","Vous pouvez vous rendre sur ce lien pour avoir la liste des pays de la zone 1, 2 et 3 : https://www.orange.sn/2/particuliers/1/3/offres-99228.html",Offres mobiles
Quelle est la différence entre Keurgui et KeurguiBOX ?,"L’offre Keurgui est une offre fixe postpayée avec une connexion haut débit wifi et illimitée, à condition que l’ADSL soit disponible chez vous.
Tandis que l’offre KeurguiBOX est une offre fixe prépayée avec une connexion wifi haut débit qui utilise le réseau mobile, à condition que le réseau 3G/4G soit disponible chez vous.",Internet et fixe
Comment faire pour se désabonner du jeu conseil qui me prend mon crédit?,"Vous pouvez vous rendre sur ce lien :  http://www.mes-abonnements-sng.com/ et cliquer sur l'onglet ""désabonnement"" et suivre les instructions pour vous désabonner. L'autre option serait de nous contacter sur notre page facebook ou sur tweeter (@supportorange) ou par mail (serviceclient@orange-sonatel.com) afin que nous le fassions pour vous.",Offres mobiles
Comment effectuer un PAIEMENT MARCHAND via Orange Money?,"Le paiement marchand est la solution de paiement mobile de Orange qui vous permet d’effectuer des actes d’achat de biens et services via le téléphone , sans manipulation de cash  au niveau du point de vente ou pour un achat en ligne . Deux modes de paiement cohabitent sur l’achat de biens et services via Orange Money. 
1--   Le commercial du partenaire Marchand initie l’opération de paiement et le client reçoit le message ci-dessous et valide avec son code secret Orange Money
« Vous avez choisi Orange Money pour payer votre achat de X FCFA. Tapez #144# et tapez votre code secret. 
Après la validation, le client reçoit le message ci-dessous de confirmation de la réussite de la transaction 
 2–Le client initie lui-même le paiement de son achat par Orange Money à partir de son téléphone.
Le partenaire marchand n’exécute aucune commande.
Il reçoit juste un message de confirmation du règlement de la transaction.
«Votre opération a été réglée par Orange Money, Merci d’avoir utilisé Orange Money »
Composer le #144#5*code commerçant*montant*code secret#",Orange Money
J'ai entendu parler de votre offre Home PLUS (ADSL 10 MEGA). Quels sont ses avantages?,"Ci-dessous les avantages de l'offre HOME PLUS (ADSL 10 MEGA) :
>Accès au nouveau bouquet Orange
>Services Premium: Contrôle du direct et Enregistreur
>LiveBox 2 incluse
>ADSL 10 Mégamax
>Illimité vers 2 Mobiles Orange
>Illimité Voix vers fixes Sonatel 24/7
>Forfait bloqué voix de 20.000 CFA
>Tarifs préférentiels vers les numéros fixes en France à partir de 25F
>Poste téléphonique inclus
>Possibilité de recharger votre crédit
Les frais de mise en service s'élèvent à 35.000fr et la redevance mensuelle à 29.900fr.",Internet et fixe
Comment faire des transferts de mon compte Orange Money vers votre compte Ecobank et inversement?,"Pour faire un transfert, Il faut être titulaire d’un compte bancaire à Ecobank et disposer d’un Kalpé Orange Money. Il faudra ensuite vous rendre dans une agence Ecobank pour vous inscrire au service.
Une fois l’inscription effective, vous pourrez démarrer vos transferts en toute sécurité, simplement au #144# option banque puis Ecobank. Après cela, il ne vous restera plus qu'à suivre les instructions. C'est cool n'est-ce pas!? :D",Orange Money
Quels seront les premiers quartiers raccordés à la fibre optique ?,"Le réseau fibre est en cours de déploiement il sera tout d’abord disponible dans les quartiers de Cité Keur Gorgui et au Plateau dès le mois d’Octobre. Ensuite le déploiement sera progressivement d’ici la fin de l’année sur la zone de Medina, Fann Point E, Almadies et Ouakam. 
En 2018 le déploiement commencera par  les zones de Nord Foire, Sud Foire et Grand Dakar.  Nous faisons tous les efforts pour que le déploiement se fasse le plus rapidement possible afin que le plus grand nombre puisse bénéficier de la fibre optique.
RDV sur senefibre.orange.sn pour vérifier votre éligibilité.",Internet et fixe
Comment ça se passe le paiement en ligne des partenaires de Paydunya via Orange Money?,"1.Choix des articles
2.Procéder à la commande + validation infos clients
3.Choisir le mode de paiement Paydunya et valider la commande
4. Le clients est redirigé vers la page Paydunya et choisit « Orange Money »
5.Il reçoit un récapitulatif avec son nom, email et téléphone avec annonce d’un reçu électronique qui sera envoyé par mail
6.Clique sur « payer maintenant ».
7.Demande de code autorisation temporaire (Le client est redirigé vers une page spécifique et fait une demande de code via USSD à partir de son numéro en tapant le #144#391# touche d’appel)
8.Introduire le numéro de téléphone et le code reçu par sms et valider: afficher automatiquement le numéro du client au lieu de lui demander de saisir
9.Réception confirmation du paiement + réception reçu sms
10.Réception d’une confirmation de la commande par le partenaire de Paydunya
Il convient de préciser que le parcours client peut différer d’un site à un autre . Vous pouvez donc suivre les instructions afin d’effectuer vos achats en ligne .",Orange Money
Que dois je faire en cas d'erreur de transfert via Orange Money?,Vous devez vous rapprocher d'une agence Orange muni de votre pièce d'identité et vous remplissez le formulaire de remboursement afin que l'argent vous soit restitué dans les 72H.,Orange Money
Pourquoi l'application S Health ne compte t-elle pas mes pas ?,"C'est très simple, vous allez voir! :-)
Il suffira juste de suivre les étapes ci-dessous pour vous assurer que le compteur de pas est activé :
- Accédez à Pas et appuyez sur “Plus” dans le coin supérieur droit de l'écran. -> L'option “Démarrer comptage des pas” sera affichée si le podomètre est mis en pause. S'il est activé, c'est l'option “Interrompre le comptage” qui sera affichée. Chaque fois que le podomètre est mis en pause, l'indication “En pause” est affichée dans le widget de l'écran d'accueil, le titre du dispositif de suivi et l'onglet Suivi.
- Si vous avez synchronisé d'autres appareils ou d'autres applications que S Health et que vous souhaitez que les données soient ajoutées séparément dans le dispositif de suivi des pas, accédez à Pas, puis appuyez sur “Plus” dans le coin supérieur droit de l'écran. -> Appuyez sur “Données source” et sélectionnez “Tous les pas” ou “Téléphone mobile”. Si vous sélectionnez “Téléphone mobile”, le nombre de pas mis à jour s'affichera en temps réel. Si vous sélectionnez “Tous les pas”, tous les nombres de pas provenant de votre appareil mobile ainsi que d'autres appareils et applications synchronisés avec S Health seront ajoutés, et les données relatives au nombre de pas seront mises à jour toutes les minutes.
Utile non !?",Terminaux et applications
Comment faire pour modifier la clé de sécurité du wifi ( code wifi ) pour le modem Domino 4G d'Orange?,"Pour modifier le code wifi, il faut d'abord être connecté sur le wifi de votre domino, puis renseigner sur le navigateur de votre choix l’adresse http://192.168.1.1 qui vous permet d'accéder à l'interface de configuration du modem.
Ensuite se connecter en temps qu'administrateur pour avoir le droit d'effectuer de quelconques modifications; le login et mot de pass étant admin. Enfin, cliquer sur Paramètres => Mot de pass d’administrateur =>mot de pass de connexion et définir le mot de pass.",Terminaux et applications
Comment vous connecter à la 4G?,,Internet mobile
"Puis-je acheter un pass de 1 ou 2,5Go pour retrouver le volume que je n’ai pas consommé sur mon pass mois KeurguiBox?","La reconduction du volume restant n’est applicable qu’à l’achat d’un autre pass mois 12,30 ou 50Go dans les 30j suivants l’expiration du pass.",Internet et fixe
Comment payer ses factures par SONATEL par Orange Money?,"Quelle est la donnée d’entrée  sur Orange Money ?
Numéro de la facture du bordereau récapitulatif s’il le client a un accès ADSL, date limite de paiement : J+ 7 date d’échéance marquée sur la facture (càd le 5 de M+1 si date d’échéance marquée sur facture = le 27 du mois M).
Vous pouvez aussi payer les factures de vos proches en ayant leur numéro de facture.
NB: Aucun frais à supporter par le client pour le paiement des factures SONATEL par Orange Money. 
Paiement facture fixe : Composer le #144#31# puis renseigner le numéro de la facture. Paiement facture Orange Téranga : Composer le #144#32# puis renseigner le numéro de la facture.",Orange Money
Comment payer ses factures SDE via Orange Money?,"Quelle est la donnée d’entrée  sur Orange Money ? 
Numéro de référence suivi de tiret (-), les deux chiffres du mois puis les deux chiffres de l’année de la date limite de paiement.
Ex :Numéro de référence : 101024814411 avec une  date limite de paiement au  28/04/2016 La donnée d’entrée est 101024814411 -0416).
Montant proposé = Montant de la dernière facture.
Date limite de paiement : Jour+10 de l’échéance (sur la facture)
Vous pouvez aussi payer les factures de vos proches en ayant leur numéro référence.
NB: Frais à payer par le client : en fonction du montant de la facture.
                                                                                            Composer le #144#36# puis renseigner le numéro de référence suivi de tiret (-), les deux chiffres du mois puis les deux derniers chiffres de l’année de la date limite de paiement",Orange Money
Je peux acheter n’importe quel pass internet mobile pour profiter du report de volume?,"Non, pour profiter du report de volume, il faut acheter un pass 7Go,15Go et 30Go, dans les 30 jours suivant la fin de validé de votre pass.",Internet mobile
Quels sont vos offres internet?,"Nous avons trois types d'offres internet. Les deux premiers sont des packages qui vous permettent d'avoir une ligne fixe avec quelques avantages, une connexion internet Wifi et la TVO offerte. En option, il est possible de vous abonner au bouquet canal de votre choix.
Le troisième type d’offre internet est aussi un package qui vous donne accès à une ligne fixe avec quelques avantages bien entendu mais à la différence avec le premier type d’offre : c’est qu’il n’y a pas TVO.
1er type offre internet : Pack Home et Pack Home Plus
AVANTAGES DU PACK HOME
>Accès au nouveau bouquet Orange
>Service Premium: contrôle du direct
>LiveBox 2 incluse
>ADSL 4 Mégamax
>Illimité vers 1 Mobile Orange
>Illimité Voix vers fixes Sonatel soir et Week-End
>3 Numéros fixes Sonatel  illimités 24/7
>Forfait bloqué voix de 10.000 CFA
>Possibilité de recharger votre crédit
Les frais de mise en service s'élèvent à 35.000fr et la redevance mensuelle à 22.900fr.
AVANTAGES DU PACK HOME PLUS
>Accès au nouveau bouquet Orange
>Services Premium: Contrôle du direct et Enregistreur
>LiveBox 2 incluse
>ADSL 10 Mégamax
>Illimité vers 2 Mobiles Orange
>Illimité Voix vers fixes Sonatel  24/7
>Forfait bloqué voix de 20.000 CFA
>Tarifs préférentiels vers les numéros fixes en France à partir de 25F
>Poste téléphonique inclus
>Possibilité de recharger votre crédit                                                                                                                                                                                                                                                                                          Les frais de mise en service s'élèvent à 35.000fr et la redevance mensuelle à 29.900fr.
2ième type offre internet : KEURGUI
Le pack KEURGUI c'est : 
>Une connexion plus fluide avec en haut débit ADSL illimitée avec seulement une redevance mensuelle de 12.900frs. Les frais d'accès s'élèvent à 25.000fr. 
>1 Modem Wifi, 
>1 Forfait crédit 6195F TTC, 
>1 Numéro illimité fixe.",Internet et fixe
Comment recharger le solde de mon crédit fixe?,"Pour recharger gratuitement votre compte fixe, il suffit de composer le 338103130 et de suivre les instructions du serveur vocal.",Internet et fixe
Comment activer ma carte sim ?,"Il faut composer le #236#2# puis insérer le numéro de carte SIM marqué sur le dos de la carte et commençant par 512 et suivre les instruction.
Si cela ne marche toujours pas, contactez-nous sur notre page facebook ou sur tweeter (@supportorange) ou par mail (serviceclient@orange-sonatel.com) afin que nous puissions faire le nécessaire. ;)",Offres mobiles
Comme activer le service Suivi conso ?,Il faut envoyer OK au 212721.,Offres mobiles
"Quels sont les frais de retrait d'un transfert d'argent reçu de la France, via Orange Money ?","Voici les frais de retrait: 
Entre 0 et 10 000                      300 F 
Entre 10 001 et 25 000             600 F 
Entre 25 001 et 50 000           1 000 F 
Entre 50 001 et 75 000           1 250 F 
Entre 75 001 et 100 000         1 500 F 
Entre 100 001et 150 000        2 100 F 
Entre 150 001et 250 000        3 200 F 
Entre 250 001 et 600 000       7 000 F 
Entre 600 001 et1 500 000   15 000 F",Orange Money
